"avatar","fullname","id","images/0","images/1","images/2","images/3","isQuote","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","links/12","links/13","links/14","links/15","links/16","links/17","links/18","links/19","links/20","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/links/6","quotedTweet/links/7","quotedTweet/links/8","quotedTweet/links/9","quotedTweet/links/10","quotedTweet/links/11","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","retweets","searchQuery","text","timestamp","url","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","username","verified"
,,"1423919478102921217",,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0","Undergraduate","😢 Arre this is after I brush twice a day after my last brush with some 10 odd cavities in my undergraduate days.","2021-08-07T08:10:00.000Z","https://twitter.com/Biorahul/status/1423919478102921217","https://pbs.twimg.com/profile_images/1559386568107835392/HPO7HVMa.jpg","Voracious reader | Idli lover | Rightist | #SRKISGOD | Lazy blogger | Lover of all things Delhi | #HR","2009-07-18T10:45:00.000Z","Gurgaon, India","6312","399","11418","188673","https://twitter.com//Biorahul","Rahul Sharma","@Biorahul","false","instagram.com/biorahul/",,"false"
,,"1450697723393372161","https://pbs.twimg.com/media/FCHp4jsVgAMXXJM.jpg",,,,"false","false","3","https://twitter.com/search?q=%23rambaghpalace","https://twitter.com/search?q=%23internationalchestday","https://twitter.com/search?q=%23culinarychefs","https://twitter.com/search?q=%23foodartist","https://twitter.com/search?q=%23royalkitchen","https://twitter.com/search?q=%23royalkitchenchef","https://twitter.com/search?q=%23pinkcitychef",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Masters","Celebrating our culinary Masters 
Happy International Chef’s Day 

#rambaghpalace #internationalchestday #culinarychefs #foodartist #royalkitchen #royalkitchenchef #pinkcitychef","2021-10-20T05:37:00.000Z","https://twitter.com/Rambaghpalace/status/1450697723393372161","https://pbs.twimg.com/profile_images/1334401477230485505/JYAlR_z2.jpg","Step out into expansive, ornamental gardens, retire to rooms that were once the sanctuaries of kings. Ph: +91 141 2385700","2016-01-19T08:17:00.000Z","Jaipur, Rajasthan","2966","984","969","2513","https://twitter.com//Rambaghpalace","Rambagh Palace","@Rambaghpalace","false",,,"false"
,,"1428389264086081541",,,,,"false","false","0","https://twitter.com/search?q=%23BengalViolenceTruth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Masters","#BengalViolenceTruth
Unless the police is made an autonomous body they can not adhere to police rule book for fear of backlash from their political masters. This disconnect is extremely important for a democracy to function in its true spirit.","2021-08-19T16:11:00.000Z","https://twitter.com/PremKal89092182/status/1428389264086081541","https://pbs.twimg.com/profile_images/1176786943775928321/wPgaTDNY.jpg","only tweets, no twattle please.
versatile interests having large canvas of life. respect for elders n seniors always
vande matram at heart in every breath","2019-09-25T09:08:00.000Z","Jaipur, India","117","275","120","11380","https://twitter.com//PremKal89092182","Prem Kale","@PremKal89092182","false",,,"false"
,,"1437405993495789577",,,,,"false","false","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1","Undergraduate","How many of diplomats would have studied International Relations as major in their undergraduate or postgraduate studies? IFS is second choice to IAS in a common competitive exam. 
It's time we start inducting, laterally, more diplomats from the environment.","2021-09-13T13:21:00.000Z","https://twitter.com/rajbhown/status/1437405993495789577","https://pbs.twimg.com/profile_images/1560088679686995969/tAqLXiuB.jpg","Retired from Indian Army, but can never be out of it mentally. love straight talking and hate to be correct politically.","2010-06-05T05:59:00.000Z","Jaipur, India","546","605","5142","5889","https://twitter.com//rajbhown","raj bhown","@rajbhown","false",,,"false"
,,"1452143711379345411",,,,,"false","false","0","https://twitter.com/search?q=%23OBC","https://twitter.com/search?q=%23DMK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Undergraduate","Shame on DMK for politicising the Reservation issue in such a baseless criteria of past, Reservation in Higher Education is of no meaning when already equal opportunity is provided to OBC, SC, ST in undergraduate MBBS courses. Such reservation will weaken medical field. #OBC #DMK","2021-10-24T05:23:00.000Z","https://twitter.com/jpchugh/status/1452143711379345411","https://pbs.twimg.com/profile_images/1706620741507309568/s1erh21e.jpg",,"2010-08-10T12:42:00.000Z","Jaipur","330","77","11414","3688","https://twitter.com//jpchugh","J P Chugh","@jpchugh","false",,,"false"
,,"1434774071095353347","https://pbs.twimg.com/media/E-lXadUVgAE17Iu.jpg",,,,"false","false","53","https://twitter.com/poojayadavips","https://twitter.com/search?q=%23MNC","https://twitter.com/search?q=%23UPSC","https://twitter.com/search?q=%23IPS","http://bureaucratsindia.in","https://twitter.com/IPS_Association",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","7","Masters","Story of @poojayadavips 👮‍♀️

During her Masters, she gave tuition, worked as a receptionist.

⏩ Gets a high paying #MNC job 

⏩ Leaves job to realize #UPSC dream

⏩ Burns mid night oil  

⏩ Cracks UPSC exam to be an #IPS officer

👉 bureaucratsindia.in 

@IPS_Association","2021-09-06T07:02:00.000Z","https://twitter.com/BureaucratsInd/status/1434774071095353347","https://pbs.twimg.com/profile_images/1695992770752565248/-m4Gydvn.jpg","An independent initiative to explore & celebrate stories of good governance by bureaucrats in India. Website: bureaucratsindia.in.","2020-05-12T16:30:00.000Z","New Delhi","30859","822","6889","5317","https://twitter.com//BureaucratsInd","Bureaucrats India","@BureaucratsInd","false","bureaucratsindia.in",,"false"
,,"1452287740154990597",,,,,"false","false","3","https://twitter.com/search?q=%23empoweringlibrary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Masters","I cannot thank archives and open library enough... You are the reason I sailed through my Masters. 
#empoweringlibrary","2021-10-24T14:55:00.000Z","https://twitter.com/cow_girl_cow/status/1452287740154990597","https://pbs.twimg.com/profile_images/1547447969665859584/73WGURJe.jpg","Teacher, Student, Reader, Learner, Feminist, Realist                                 


















                                    In search of self...","2017-09-22T08:33:00.000Z","Jaipur, India","73","186","3556","724","https://twitter.com//cow_girl_cow","girl cow","@cow_girl_cow","false",,,"false"
,,"1476389673630986242","https://pbs.twimg.com/media/FH0wk0tVgAAKVTV.jpg",,,,"false","false","9","https://twitter.com/search?q=%23EducationForAll","https://twitter.com/search?q=%23DrSamraSultanaNetwork","https://piped.video/watch?v=bBT2YnBQcJI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2","5","School","Annual Day celebration @ Imam Rabbani School Jaipur on 25th.Dec.2021 (Ravendra Manch Auditorium). Speech 🎤 by Dr. Samra Sultana. #EducationForAll #DrSamraSultanaNetwork.           piped.video/watch?v=bBT2Yn…","2021-12-30T03:08:00.000Z","https://twitter.com/DrSamraSultana/status/1476389673630986242","https://pbs.twimg.com/profile_images/1554494737310134272/Y5Gh8Kh6.jpg","Member All India Muslim Law Board|General Secretary Rajasthan Pradesh Mahila Congress| Member Pink City Press Club| Vice-Chairperson Imam Rabbani School Jaipur","2020-07-28T16:04:00.000Z","Jaipur, India","512","55","2162","736","https://twitter.com//DrSamraSultana","Dr. Samra Sultana","@DrSamraSultana","true","drsamrasultana.com",,"true"
,,"1475859057302859776","https://pbs.twimg.com/media/FHtN_XAUUAAC2rC.jpg",,,,"false","false","13","https://www.instagram.com/p/CYBTJKwFwbL/?utm_medium=copy_link","https://twitter.com/search?q=%23art","https://twitter.com/search?q=%23artwork","https://twitter.com/search?q=%23conceptart","https://twitter.com/search?q=%23design","https://twitter.com/search?q=%23interiorstyling","https://twitter.com/search?q=%23VocalForLocal","https://twitter.com/search?q=%23nft","https://twitter.com/search?q=%23incredibleindia","https://twitter.com/search?q=%23painting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","0","0","School","Wedding invite inspired from Indian school of Miniature painting. 
instagram.com/p/CYBTJKwFwbL/…
#art #artwork #conceptart #design #interiorstyling #VocalForLocal #nft  #incredibleindia  #painting","2021-12-28T15:59:00.000Z","https://twitter.com/authindia/status/1475859057302859776","https://pbs.twimg.com/profile_images/788463782217428992/CeiQ1W0W.jpg","Building India's largest art community. Learn, Network, Shop & Grow together.","2015-01-12T11:11:00.000Z","Lucknow","9120","774","741482","14407","https://twitter.com//authindia","Authindia","@authindia","false","authindia.com",,"false"
"https://pbs.twimg.com/profile_images/1560088679686995969/tAqLXiuB.jpg","raj bhown","1379970548340432896",,,,,"false","false","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Masters","Subservience,has gone deep into our Military institutions. CDS, justifies his efforts to come up to satisfaction of its civilian masters, with in the constraints, he is convinced cannot be questioned. We, have allowed CDS to be a mere tool of Govt, which should be the arm, infact","2021-04-08T01:33:00.000Z","https://twitter.com/rajbhown/status/1379970548340432896","https://pbs.twimg.com/profile_images/1560088679686995969/tAqLXiuB.jpg","Retired from Indian Army, but can never be out of it mentally. love straight talking and hate to be correct politically.","2010-06-05T05:59:00.000Z","Jaipur, India","546","605","5142","5889","https://twitter.com//rajbhown","raj bhown","@rajbhown","false",,"@rajbhown","false"
