"avatar","fullname","id","images/0","images/1","images/2","images/3","isQuote","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","links/12","links/13","links/14","links/15","links/16","links/17","links/18","links/19","links/20","links/21","links/22","links/23","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/links/6","quotedTweet/links/7","quotedTweet/links/8","quotedTweet/links/9","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","retweets","searchQuery","text","timestamp","url","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","username","verified"
,,"1459512485279518726",,,,,"true","false","1","https://twitter.com/search?q=%23ESG","https://twitter.com/search?q=%23ImpactInvesting","https://twitter.com/nytimes",,,,,,,,,,,,,,,,,,,,,,"","DealBook",,,,,"https://twitter.com/jggross","https://nyti.ms/3FdWytD",,,,,,,,,"In the weekend edition of the DealBook newsletter: M.B.A. programs are expanding their courses on E.S.G. to meet demand from students and employers, writes @jggross nyti.ms/3FdWytD","2021-11-13T13:02:00.000Z","https://twitter.com/dealbook/status/1459507076766572549","@dealbook","0","0","0","Undergraduate","‘Trending ESG Edu’-The Univ of Penn Wharton School of Business now offers more than 50 undergraduate and graduate courses related to social impact #ESG #ImpactInvesting!Good trend story by @nytimes","2021-11-13T13:24:00.000Z","https://twitter.com/katranjeet/status/1459512485279518726","https://pbs.twimg.com/profile_images/1476736986937315330/EQzSG3u5.jpg","Here & Now..Media CEO (Views are personal)","2009-04-24T11:53:00.000Z","Bengaluru, India","2416","98","16398","17288","https://twitter.com//katranjeet","Ranjeet Kate","@katranjeet","false","in.linkedin.com/in/ranjeetka…",,"false"
,,"1457927525384876044",,,,,"true","false","10","https://twitter.com/sidjhun","https://twitter.com/Megha__Srinivas","https://twitter.com/Preeti__Sh",,,,,,,,,,,,,,,,,,,,,,"","Jhunjhunwala Lab",,,,,"https://twitter.com/Megha__Srinivas","https://twitter.com/Preeti__Sh","https://pubs.acs.org/doi/10.1021/acs.molpharmaceut.1c00698#.YYnz7O4kEqk.twitter",,,,,,,,"Our (@Megha__Srinivas @Preeti__Sh) is out! Phagocytic Uptake of Polymeric Particles by Immune Cells under Flow Conditions pubs.acs.org/doi/10.1021/acs…","2021-11-09T04:14:00.000Z","https://twitter.com/sidjhun/status/1457924409532968963","@sidjhun","0","0","0","Undergraduate","An interesting piece of work from our lab (@sidjhun) on evaluating phagocytic potential of immune cells under flow conditions. Led by enthusiastic undergraduate @Megha__Srinivas along with @Preeti__Sh

Congratulations all of you!! 👏🥳😊","2021-11-09T04:26:00.000Z","https://twitter.com/Jay_Ragh/status/1457927525384876044","https://pbs.twimg.com/profile_images/1388349936354283521/ig4qJ9w9.jpg","Postdoc|CBDMLab|@HarvardMed
Alum: PhD|@sidjhun|@IIScBangalore|BE|@RVCE_official
Research: #SystemsImmunology
Books|coffee|carnatic music|travel|art|gardening","2010-06-13T03:58:00.000Z","Cambridge, MA","455","997","3388","475","https://twitter.com//Jay_Ragh","Jayashree Vijaya Raghavan","@Jay_Ragh","false","sites.google.com/site/jhunjh…",,"false"
,,"1420756457356599296",,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0","Undergraduate","Landmark decision taken by Government of India in Medical Education

27% reservation for OBCs and 10% reservation for Economically Weaker Section (EWS) in All India Quota (AIQ) Scheme for undergraduate and postgraduate medical / dental courses","2021-07-29T14:41:00.000Z","https://twitter.com/Adideshpande97/status/1420756457356599296","https://pbs.twimg.com/profile_images/1622271391218438151/F4mIqASI.jpg","भगवान बलराम के @KisanSangh7🌾FPO|SHG|MSME|Agro_Foodbusines|Startups|Agri Finance|Theatre Artist|Traveller| वंदे मातरम🚩
ExIIPM 📢  😎ExConvenor @thinkindiaorg","2018-06-06T20:13:00.000Z","Pune, India","764","1288","13723","5848","https://twitter.com//Adideshpande97","Aditya Deshpande","@Adideshpande97","false",,,"false"
,,"1433075209695744003","https://pbs.twimg.com/media/E-NOS5PVcAApgBk.jpg","https://pbs.twimg.com/media/E-NOTGtVEAYfwN1.jpg","https://pbs.twimg.com/media/E-NOTW0UcAk2CZr.jpg","https://pbs.twimg.com/media/E-NOTrpVQAE2QVl.jpg","false","false","3","https://piped.video/1BXOanZcnV8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","2","Undergraduate","Division of Research and Patents, Ramaiah Medical College organized a E-Workshop on Basic Course on Research Methodology for Undergraduate Students held on 1st September 2021

Video Link piped.video/1BXOanZcnV8","2021-09-01T14:32:00.000Z","https://twitter.com/CollegeRamaiah/status/1433075209695744003","https://pbs.twimg.com/profile_images/1153624694869770240/gXnO-BHl.jpg","Official Twitter handle of Ramaiah Medical College","2019-07-08T06:06:00.000Z","Bengaluru, India","514","47","82","631","https://twitter.com//CollegeRamaiah","Ramaiah Medical College","@CollegeRamaiah","false","msrmc.ac.in",,"false"
,,"1409145510032642057","https://pbs.twimg.com/media/E43bKl_UcAUt6hj.jpg",,,,"true","false","7","https://twitter.com/virology_chitra",,,,,,,,,,,,,,,,,,,,,,,,"","PDFA - NCBS- INSTEM","https://pbs.twimg.com/media/E43bKl_UcAUt6hj.jpg",,,,"https://twitter.com/virology_chitra",,,,,,,,,,"One week from today, @virology_chitra explores tracking the spread of SARS CoV2 in the opening lecture of the series for undergrads. See you there!","2021-06-27T05:38:00.000Z","https://twitter.com/NcbsPdfa/status/1409023263267725313","@NcbsPdfa","0","0","1","Undergraduate","What better way to kickstart the Undergraduate Lecture Series this year @virology_chitra!","2021-06-27T13:44:00.000Z","https://twitter.com/RGopurappilly/status/1409145510032642057","https://pbs.twimg.com/profile_images/1596437797035876352/52T0bubA.jpg","Stem cells, NK cells, CAR-NK, gene editing","2018-03-08T12:18:00.000Z","Bengaluru, India","250","254","886","339","https://twitter.com//RGopurappilly","Renjitha Gopurappilly","@RGopurappilly","false",,,"false"
,,"1419635481218752515","https://pbs.twimg.com/media/E7OO4utVIAEO5Pt.jpg",,,,"false","false","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","0","11","Undergraduate","The fourth invited seminar in the undergraduate lecture series 2021 by Dr Sandeep Krishna from NCBS. Do sign up!","2021-07-26T12:27:00.000Z","https://twitter.com/NcbsPdfa/status/1419635481218752515","https://pbs.twimg.com/profile_images/1262758476549259274/h6P-LGLW.jpg","We are the Post Doctoral Fellows Association at NCBS-inStem-TIGS. We aim for the betterment of Post Docs in all avenues.","2016-07-04T05:55:00.000Z","Bangalore","1110","391","529","700","https://twitter.com//NcbsPdfa","PDFA - NCBS- INSTEM","@NcbsPdfa","false",,,"false"
,,"1441458188008636416",,,,,"false","false","0","https://forms.gle/r9SZvMuQkirj8ast9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Undergraduate","Are you an undergraduate student pursuing any health care profession in India? Help us find out the relationship between physical activity and anxiety!
forms.gle/r9SZvMuQkirj8ast9","2021-09-24T17:43:00.000Z","https://twitter.com/Jenvaly/status/1441458188008636416","https://pbs.twimg.com/profile_images/1435956455664861186/3g_FlT_6.jpg","Passionate Academician,
Researcher in NeuroRehabilitation,
Lecturer at St. John's Medical College,
Proud Alumni of MAHE, 
Freelancing writer, 
Ferocious reader","2017-08-04T16:01:00.000Z","Bengaluru, India","209","304","480","377","https://twitter.com//Jenvaly","Jennifer D'souza","@Jenvaly","false",,,"false"
,,"1476023864094199811",,,,,"false","false","0","https://theprint.in/india/famous-poet-akbar-allahabadi-is-now-akbar-prayagraj-says-up-higher-education-panel-website/789963/","https://twitter.com/googlenews",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Masters","Ha ha ha. The dogs wag their tail harder and harder to compete for masters attention. 😂😂🙄

ThePrint: Famous poet Akbar Allahabadi is now Akbar Prayagraj, says UP higher education panel website.
theprint.in/india/famous-poe…

via @GoogleNews","2021-12-29T02:54:00.000Z","https://twitter.com/farhanejaz/status/1476023864094199811","https://pbs.twimg.com/profile_images/1558800418041319425/fq2vOlBg.jpg",,"2009-08-01T20:25:00.000Z","White Field, Bengaluru South","265","285","1070","3743","https://twitter.com//farhanejaz","Shhh...","@farhanejaz","false",,,"false"
,,"1363793686375456768","https://pbs.twimg.com/media/Eu0rHsRVgAAqw0b.jpg","https://pbs.twimg.com/media/Eu0rH6xVcAE-qaP.jpg","https://pbs.twimg.com/media/Eu0rIIfVgAA9_mw.jpg","https://pbs.twimg.com/media/Eu0rIUbUYAA5rAA.jpg","false","false","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1","Undergraduate","Inauguration of the 17th Community Based Training Programme organized by Department of Community Medicine, RMC for the batch 2020-21 undergraduate medical graduates and pharmacy students held on 22nd February 2021 at Ramaiah Medical College","2021-02-22T10:12:00.000Z","https://twitter.com/CollegeRamaiah/status/1363793686375456768","https://pbs.twimg.com/profile_images/1153624694869770240/gXnO-BHl.jpg","Official Twitter handle of Ramaiah Medical College","2019-07-08T06:06:00.000Z","Bengaluru, India","514","47","82","631","https://twitter.com//CollegeRamaiah","Ramaiah Medical College","@CollegeRamaiah","false","msrmc.ac.in",,"false"
,,"1382546396457275398","https://pbs.twimg.com/media/Ey_Knc1VgAEtpEt.jpg",,,,"false","false","3","https://twitter.com/search?q=%23carpediem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","0","1","Undergraduate","The John M. Belk Scholarship is one of the most prestigious & generous undergraduate scholarships in the United States. It provides comprehensive funding covering tuition, fees, room & board plus special study stipends
#carpediem","2021-04-15T04:08:00.000Z","https://twitter.com/InventureK12/status/1382546396457275398","https://pbs.twimg.com/profile_images/2852065070/10c3b1c8a98b66e4483a1d652ac5251d.png","Inventure is ranked #1 in Karnataka & Bangalore for the last 5 years and  #3 in India in the Education World C Fore Survey 2023 (Co-Ed Day Schools Category)","2012-10-29T10:17:00.000Z","Bengaluru, India","1027","303","439","4084","https://twitter.com//InventureK12","Inventure Academy","@InventureK12","true","inventureacademy.com/",,"true"
