avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,links/13,links/14,links/15,links/16,links/17,links/18,links/19,links/20,links/21,links/22,links/23,links/24,links/25,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/images/1,quotedTweet/images/2,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/links/4,quotedTweet/links/5,quotedTweet/links/6,quotedTweet/links/7,quotedTweet/links/8,quotedTweet/links/9,quotedTweet/links/10,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1475636362195849217,https://pbs.twimg.com/media/FHqDcQAVkAAkf5R.jpg,,,,False,False,3,https://twitter.com/RGIAHyd,https://twitter.com/search?q=%23Delhi,https://twitter.com/vkmrao41,https://twitter.com/search?q=%23TSBC,https://twitter.com/NCBC_INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,Masters,enough electors necessary lawmakers otherwise lawmakers masters electors ambedkar travelling delhi along chairman tube meet chairman,2021-12-28T01:14:00.000Z,https://twitter.com/srinu1966/status/1475636362195849217,https://pbs.twimg.com/profile_images/1667748500225019904/_2cPsLhX.jpg,OSD to Former Union Civil Aviation Minister Govt of India.Did Post graduation in Journalism and Law from Osmania University and love to be a global citizen.,2010-01-04T11:41:00.000Z,"Hyderabad, India",916,3538,12460,10613,https://twitter.com//srinu1966,NOMULA SRINIVAS RAO,@srinu1966,True,facebook.com/nomula.rao.7/,,True
,,1472472443956596737,,,,,False,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,Masters,chicago typewriter hear voice inspector koo lawless lawyer mad mystic pop bar search sisyphus myth masters sun tale nod,2021-12-19T07:42:00.000Z,https://twitter.com/prasanth_ro45/status/1472472443956596737,https://pbs.twimg.com/profile_images/1732059653423689728/w4dJJ4dX.jpg,"Korean Dramas 😍
Mahesh Babu ❤️
Rohit Sharma 🥰
Ji Chang wook 🫰
Love traveling 🌍
mydramalist.com/profile/8908…",2011-08-10T13:32:00.000Z,KDrama - 179 Kmovie - 70,1025,376,53395,27218,https://twitter.com//prasanth_ro45,Chingu,@prasanth_ro45,False,,,False
,,1474754971631423489,,,,,False,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Masters,amazing jealous lol love last year got jurassic world lego set helicopter raptor watch lego masters,2021-12-25T14:52:00.000Z,https://twitter.com/harshitdave/status/1474754971631423489,https://pbs.twimg.com/profile_images/1588464001570459652/-xp9ldro.jpg,"Father, Family man, Artist 
Featured by @photoshop on IG.
5 SOLD OUT series

FND - foundation.app/@harshitdave
KO - knownorigin.io/harshitdave",2009-07-30T03:06:00.000Z,India,19799,1385,229864,161495,https://twitter.com//harshitdave,Harshit Dave,@harshitdave,True,harshitdave.eth.co,,True
,,1470470023948947461,https://pbs.twimg.com/media/FGgodzHXoAgUpr9.jpg,,,,False,False,41,http://M.Sc,https://twitter.com/search?q=%23लीडर,https://twitter.com/search?q=%23AmbedkarInLondon,https://twitter.com/search?q=%23SujatAmbedkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9,Masters,congratulations suit ambedkar masters mic election campaign democracy royal holloway university london ambedkarinlondon sujatambedkar,2021-12-13T19:05:00.000Z,https://twitter.com/Aakshay_Bansode/status/1470470023948947461,https://pbs.twimg.com/profile_images/1728689570005598208/eBjmTi2x.jpg,"| State Member Yuva @VBAforIndia |  | Law Student @Uni_Mumbai | Avid Reader | Anti-Caste | He/Him

Instagram: instagram.com/p/CetbBq4jpuH/…",2016-01-31T02:27:00.000Z,"Nanded-Waghala, India",5025,934,12572,5546,https://twitter.com//Aakshay_Bansode,Aakshay Bansode,@Aakshay_Bansode,True,,,True
,,1470635835854766083,https://pbs.twimg.com/media/FGi_f4GVUAI5li8.jpg,,,,False,False,36,https://twitter.com/search?q=%23USICON2022,https://twitter.com/OTRAXER,https://twitter.com/sbinhamrii,https://twitter.com/drganpuleuro,https://twitter.com/drragoori,https://twitter.com/drharprit,https://twitter.com/UroZedman,https://twitter.com/YouthUSI,https://twitter.com/DrPKandarp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,14,Masters,usicon2022 ahmedabad endourology session with jan 1400 1700 ist experience cross fire learn tricks hear masters innovations black pearls,2021-12-14T06:04:00.000Z,https://twitter.com/usioffice/status/1470635835854766083,https://pbs.twimg.com/profile_images/838649560499019778/Ko4IK_GB.jpg,The official Twitter handle of The Urological society of India !,2017-03-06T07:06:00.000Z,New Delhi,3042,337,710,388,https://twitter.com//usioffice,Urological Society of India 🇮🇳,@usioffice,False,usi.org.in,,False
,,1464215426754220036,https://pbs.twimg.com/media/FFHwKuMVkAI3mAa.jpg,,,,False,False,8,https://twitter.com/sardesairajdeep,https://twitter.com/BJYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,Masters,another day life halal habitual offender going overly crazy every sniff masters movement youd wondering keeps night answer,2021-11-26T12:52:00.000Z,https://twitter.com/SolankySrinivas/status/1464215426754220036,https://pbs.twimg.com/profile_images/1575752260969467904/0aDiq8ZB.jpg,Official Spokesperson - @BJP4Telangana | National Executive Member - @BJYM | Incharge Tamilnadu - @BJYMinTN | Proud Swayamsevak | Karyakarta @ABVPVoice,2016-12-10T16:39:00.000Z,"Bhagyanagar, Telangana",1687,90,3541,4968,https://twitter.com//SolankySrinivas,Dr.B.L.Sreenivas Solanky,@SolankySrinivas,True,facebook.com/Dr.SolankySreen…,,True
,,1470636790860042240,https://pbs.twimg.com/media/FGjAW-sVEAAC6sH.jpg,https://pbs.twimg.com/media/FGjAXOeUUAAtBYo.jpg,https://pbs.twimg.com/media/FGjAXdmUYAAG2Yx.jpg,,False,False,4,https://twitter.com/search?q=%23HappyHyderabad,https://twitter.com/search?q=%23swimming,https://twitter.com/HiHyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,Masters,happyhyderabad swimming wishes best luck mars queen victoria mars queen came with ski masters mars queen gives best eligible japan going held 2022 world master games,2021-12-14T06:08:00.000Z,https://twitter.com/happy_hyderabad/status/1470636790860042240,https://pbs.twimg.com/profile_images/1403755927891636227/QKtC3bWn.jpg,"#HappyHyderabad is #Cycling Group aimed Promote Cycling  #Happiness ❤ #Hyderabad
 #Running #volleyball #badminton #bookclubs  #volunteering
9701744814",2021-06-12T16:43:00.000Z,"Hyderabad, India",1093,474,6863,2677,https://twitter.com//happy_hyderabad,🇮🇳 HappyHyderabad,@happy_hyderabad,False,,,False
,,1467455703405133825,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Masters,many aspects dont like nizam three important times supported british one anglo more war 1790s tip sultan 1857 revolt masters mughals empire third one world war send army ottoman empire,2021-12-05T11:27:00.000Z,https://twitter.com/MuhammadArifAli/status/1467455703405133825,https://pbs.twimg.com/profile_images/1619238349415530496/J7XYdka_.jpg,"Practicing Advocate @ Civil, Criminal, High Court for the state of Telangana & Family Court 👨‍⚖️",2017-04-29T02:03:00.000Z,"Hyderabad, India",1525,38,18283,13380,https://twitter.com//MuhammadArifAli,Advocate Mohd Arif وکیل محمد عارف ( B.A.L.L.B ),@MuhammadArifAli,False,instagram.com/mohammedarifal…,,False
,,1463425736614682628,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Masters,use always welcomed masters cabinet minister journalist,2021-11-24T08:34:00.000Z,https://twitter.com/KaleemS9/status/1463425736614682628,https://pbs.twimg.com/profile_images/1730685442356641792/F5i5OIw4.jpg,Babri Masjid,2011-12-01T04:43:00.000Z,حیدرآباد فرخندہ بنیاد,688,32,52849,59520,https://twitter.com//KaleemS9,बेरोजगार भारत,@KaleemS9,False,,,False
,,1467362831037190147,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Masters,religion imposed colonial masters racist exploitative suppressive centuries islam solution race caste class problem whatsoever propaganda white christian europeans islam fastest growing religion world,2021-12-05T05:18:00.000Z,https://twitter.com/mferozkhan19/status/1467362831037190147,https://pbs.twimg.com/profile_images/1346352779804041217/F1WbaeGH.jpg,,2013-04-02T06:31:00.000Z,,84,399,6871,23277,https://twitter.com//mferozkhan19,Hamza bin Hamid,@mferozkhan19,False,,,False
