avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,links/13,links/14,links/15,links/16,links/17,links/18,links/19,links/20,links/21,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/images/1,quotedTweet/images/2,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/links/4,quotedTweet/links/5,quotedTweet/links/6,quotedTweet/links/7,quotedTweet/links/8,quotedTweet/links/9,quotedTweet/links/10,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1476242026244960257,,,,,False,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,University,welldeserved honour dynamic university watch honours list,2021-12-29T17:21:00.000Z,https://twitter.com/DeeptiElt/status/1476242026244960257,https://pbs.twimg.com/profile_images/1468993461764313088/niUG_Z4j.jpg,"Professor, PU",2012-03-06T16:11:00.000Z,India,323,202,735,1439,https://twitter.com//DeeptiElt,Deepti Gupta,@DeeptiElt,False,,,False
,,1475879710311677952,,,,,True,False,0,,,,,,,,,,,,,,,,,,,,,,,,Naval Kant Sinha | नवल कान्त सिन्हा,,,,,,,,,,,,,,,इत्र बनाने का कोर्स कहां से किया जा सकता है????,2021-12-28T05:49:00.000Z,https://twitter.com/navalkant/status/1475705440533053442,@navalkant,0,0,0,University,kanpuria university,2021-12-28T17:21:00.000Z,https://twitter.com/vipulkaushik/status/1475879710311677952,https://pbs.twimg.com/profile_images/1727259517510176768/TgWMeVZZ.jpg,"A long drive aficionado, nature lover explorer and love  following latest developments in armaments.Tweets are personal opinion.Retweets  are not endorsements",2009-07-08T16:06:00.000Z,Chandigarh,148,1664,2356,2357,https://twitter.com//vipulkaushik,Vipul 🇮🇳,@vipulkaushik,False,,,False
,,1475017909843943427,,,,,False,False,0,https://www.instagram.com/p/CX8GWLDPvLiMs1e2NKj-7A6QX5jT7RpE5Is4es0/?utm_medium=twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,humble tribute great son india birthday anniversary salute punjab university chandigarh,2021-12-26T08:17:00.000Z,https://twitter.com/Amitbhatti007/status/1475017909843943427,https://pbs.twimg.com/profile_images/1569666537203838977/ELw9_SQt.jpg,Director- Corporate Relationship/ Business Development/Planning/Strategies,2018-10-17T06:18:00.000Z,"Chandigarh, India",33,349,14,366,https://twitter.com//Amitbhatti007,Amit Bhatti,@Amitbhatti007,False,,,False
,,1476906635109056512,,,,,False,False,0,https://www.instagram.com/p/CYJhPQiPvk832SMvcEMHLe9kLr9CI1-rZ9bhzk0/?utm_medium=twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,2021 punjab university chandigarh,2021-12-31T13:22:00.000Z,https://twitter.com/manrajsingh1391/status/1476906635109056512,https://pbs.twimg.com/profile_images/1685718934207574016/12OhfTyR.jpg,COLLEGE STUDENT,2021-12-01T16:44:00.000Z,,2,43,31,62,https://twitter.com//manrajsingh1391,MANRAJ SINGH VIRDI 1391,@manrajsingh1391,False,,,False
https://pbs.twimg.com/profile_images/1468993461764313088/niUG_Z4j.jpg,Deepti Gupta,1468027258090979329,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,exams,teachers abandoned students exams december last working day semester,2021-12-07T01:19:00.000Z,https://twitter.com/DeeptiElt/status/1468027258090979329,https://pbs.twimg.com/profile_images/1468993461764313088/niUG_Z4j.jpg,"Professor, PU",2012-03-06T16:11:00.000Z,India,323,202,735,1439,https://twitter.com//DeeptiElt,Deepti Gupta,@DeeptiElt,False,,@DeeptiElt,False
,,1474273290793340932,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,bar university,2021-12-24T06:58:00.000Z,https://twitter.com/nelson10491/status/1474273290793340932,https://pbs.twimg.com/profile_images/1469177106923810816/6ZT18GTo.jpg,Lone Wolf,2010-05-09T08:01:00.000Z,India,58,1104,7033,3931,https://twitter.com//nelson10491,Neo,@nelson10491,False,,,False
,,1475695989709234180,,,,,False,False,1,https://www.instagram.com/p/CYA6s4JviR3/?utm_medium=twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,lives motive pain pain punjab university chandigarh,2021-12-28T05:11:00.000Z,https://twitter.com/Rayeesjamil/status/1475695989709234180,https://pbs.twimg.com/profile_images/1307299263215362053/83QBGhfW.jpg,"Editor AHG News & Managing director of Al-Hilal International school Tangdar. I want peace in the world, especially in Jammu and Kashmir.",2019-04-19T14:11:00.000Z,kalaroos,29,74,128,139,https://twitter.com//Rayeesjamil,Journalist Rayees Jamil,@Rayeesjamil,False,rayeesjamil.in,,False
,,1474207109843542016,https://pbs.twimg.com/media/FHVvhK3UcAE7e0g.jpg,https://pbs.twimg.com/media/FHVvhXPVEAkXqma.jpg,https://pbs.twimg.com/media/FHVviMsVQAAdLjs.jpg,https://pbs.twimg.com/media/FHVvjbjVgAAhf8d.jpg,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,happy share collaboration chikara university himachal grades chikara international school filed collaborative research project congratulate team members tribune punjab keri times india etc dec 2021,2021-12-24T02:35:00.000Z,https://twitter.com/Sartajvir/status/1474207109843542016,https://pbs.twimg.com/profile_images/1358478160795295744/3Wekkqf9.jpg,"Professor & Associate Director @Chandigarh University | Editor - @Springer, @Frontiers & @Elsevier | Digital Image Analyst, Remote Sensing, Hyperautomation",2010-02-11T17:08:00.000Z,"Chandigarh, India",93,195,108,124,https://twitter.com//Sartajvir,Dr Sartajvir Singh Dhillon,@Sartajvir,False,linkedin.com/in/sartajvir,,False
,,1432626176107823123,https://pbs.twimg.com/media/E-G16eBX0AQOJyD.jpg,,,,False,False,20,https://twitter.com/UnivofDelhi,https://twitter.com/search?q=%23RejectNEP,https://twitter.com/search?q=%23NoTOFYUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,4,Undergraduate,four year undergraduate program highly problematic kill learning process large section students coming lower income background difficult continue education circumstances stop rejected notofyup,2021-08-31T08:47:00.000Z,https://twitter.com/SfiDelhi/status/1432626176107823123,https://pbs.twimg.com/profile_images/1630262014756139008/I0ubUmWz.jpg,"Official Twitter Account of Students' Federation of India - Delhi State Committee
To join, fill the following form:
forms.gle/GmLmMb9CfKko7bZo6",2017-04-18T15:21:00.000Z,"New Delhi, India",10993,318,6956,4161,https://twitter.com//SfiDelhi,SFI Delhi,@SfiDelhi,False,sfidelhi.wordpress.com/,,False
,,1410535723434799107,,,,,False,False,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,Undergraduate,seats undergraduate postgraduate courses available sathyabhama ist chennai deemed university pods full scholarship covering accessible hostel facility also apply online unto 090721,2021-07-01T09:48:00.000Z,https://twitter.com/HaryanaRpwd/status/1410535723434799107,https://pbs.twimg.com/profile_images/1344336283078803456/NYgQLDZ3.jpg,"The official Twitter handle of State Commission for the Persons with Disabilities, Haryana",2020-12-30T17:21:00.000Z,"Chandigarh, India",4054,92,21369,7569,https://twitter.com//HaryanaRpwd,Commissioner Disabilities Haryana,@HaryanaRpwd,False,,,False
,,1472504356981207040,,,,,False,False,0,https://twitter.com/CHARANJITCHANNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,drinking higher education ugh harmful future students punjab pay scales research grants grants ugh also affectedplease undo drinking give scales teachers colleges universities,2021-12-19T09:49:00.000Z,https://twitter.com/dhanoaHS/status/1472504356981207040,https://pbs.twimg.com/profile_images/1577149847442182149/Dyu45nSv.jpg,"Retired Associate Professor and Head, Deptt. of History in PG Government College, Sector 11, Chandigarh",2016-01-03T10:26:00.000Z,"Chandigarh, India",195,35,1123,1923,https://twitter.com//dhanoaHS,Harminder Dhanoa,@dhanoaHS,False,,,False
,,1472609201469808646,https://pbs.twimg.com/media/FG_CQ4dVIAEgWh3.jpg,,,,False,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,University,blessings love sharing good news created history inter tonal youth festival punjab university skit directed got first prize also three individual best actor prizes skit thanks teachers mentors,2021-12-19T16:46:00.000Z,https://twitter.com/pogo376/status/1472609201469808646,https://pbs.twimg.com/profile_images/1408360103816749056/qrt-JZlI.jpg,"Theatre Artist... Research scholar Actor Traveller  Poet...
an explorer... बंजारा हूं in search of my self. सच तो बस सच होता है। न आधा होता है न पूरा होता है,",2013-07-01T12:36:00.000Z,Chandigarh,4,250,138,88,https://twitter.com//pogo376,Nitin sharma,@pogo376,False,,,False
,,1472148947212767233,,,,,False,False,0,https://twitter.com/CHARANJITCHANNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,sir please cancel drinking ugh scales punjab college university teachersthe issue solved earliest teachers agitating roads good sign education minister also agree teachers demand justified,2021-12-18T10:17:00.000Z,https://twitter.com/dhanoaHS/status/1472148947212767233,https://pbs.twimg.com/profile_images/1577149847442182149/Dyu45nSv.jpg,"Retired Associate Professor and Head, Deptt. of History in PG Government College, Sector 11, Chandigarh",2016-01-03T10:26:00.000Z,"Chandigarh, India",195,35,1123,1923,https://twitter.com//dhanoaHS,Harminder Dhanoa,@dhanoaHS,False,,,False
