id,text,searchQuery,negative,neutral,positive,polarity,subjectivity,state
1420588932744372224,congratulations victor debbarma successfully completing pod proud society,phd,0.0011756280437111,0.0181591361761093,0.9806652069091796,0.775,0.775,tripura_clean
1442020496892039176,bhai school meh hate kya manmohan singh governor fbi school paid kar aur sake toh pod kar lena aur sun desk charade like kam karma pasta haifekna nazi hot juma,phd,0.6800294518470764,0.3081431686878204,0.0118273431435227,-0.275,-0.275,tripura_clean
1475705435441164288,college fisheries सरहम,College,0.138963297009468,0.8242783546447754,0.0367583520710468,0.0,0.0,tripura_clean
1476938029516218371,sinceritycooperation would never erased heartstudentsfaculties can express feelings love gratitude entire college administrationthank everything dmetripura,College,0.0106379594653844,0.1642665565013885,0.8250954747200012,0.25,0.25,tripura_clean
1465727618540396545,azadikaamritmahotsav kamalpur govt degree college,College,0.0832542702555656,0.8675265908241272,0.0492191538214683,0.0,0.0,tripura_clean
1450848165649735682,amit shah arriving not lay foundation stone forensic university tempura,University,0.2092661708593368,0.7715441584587097,0.0191895980387926,0.0,0.0,tripura_clean
1447512438568460292,tributes venerable nanajideshmukh jayanti social activist nana established india first rural university exemplary work field education health rural selfreliancehe remains eternal inspiration quest transform indian villages,University,0.0066876010969281,0.2606381475925445,0.732674241065979,0.0708333333333333,0.0708333333333333,tripura_clean
1445286781407035395,proud govtdegree college gandachara,College,0.0026636503171175,0.0999812930822372,0.8973550796508789,0.8,0.8,tripura_clean
1415156544782553091,today birthday mahendranath gusta author sri sri ramakrishna kathamritahe disciple ramakrishna born july 1854 kolkata died june 1932 kolkata known author sri sri ramakrishna kathamrita education hare school presidency university,University,0.0920070856809616,0.8767427206039429,0.0312501080334186,0.0,0.0,tripura_clean
1437395896514142209,right equality tempura university and ith semester online exam bed college ith semester online exam tempura university final ith semester,University,0.1049944758415222,0.8548850417137146,0.0401205345988273,0.1428571428571428,0.1428571428571428,tripura_clean
1441637167780880384,couid destroyed still college admissions counseling going fresher party school didn even gave farewell,College,0.6632546186447144,0.3186140358448028,0.0181312654167413,0.0,0.0,tripura_clean
1427313541741092877,dont fail life normal job average income dont fail life get average grades dont university dont fail life wear name clothes dont follow trends,University,0.2040649205446243,0.5808017253875732,0.2151332795619964,-0.2749999999999999,-0.2749999999999999,tripura_clean
